id,name,url_key,category,image_url,address,locality,city,state,courses,faculties,fee_structure,results,description
1,'Engineers Academy - Jaipur Rajasthan','engineers-academy-jaipur',School,https://studypravesh.com/media/catalog/product'/0/0/003_1_.jpg','S-52,'17','Jaipur','Rajasthan','318,NULL,NULL,NULL,"'<table style=""width: 100%;"">rn<tbody>rn<tr>rn<td><span id=""ContentPlaceHolder1_Label111"" style=""font-size: Small;"">Engineers Academy is a leading Educational institution based in Various Parts of India. A venture of the renowned Engineers Academy group"
2,'Engineers Academy - Jaipur Rajasthan-IES+GATE+PSUs','engineers-academy-jaipur-rajasthan-ies-gate-psus',School,https://studypravesh.com/media/catalog/product'no_selection','78 Usha Vihar,,'Jaipur','Rajasthan',,,,,"'<table style=""width: 100%;"">rn<tbody>rn<tr>rn<td><span id=""ContentPlaceHolder1_Label111"" style=""font-size: Small;"">Engineers Academy is a leading Educational institution based in Various Parts of India. A venture of the renowned Engineers Academy group"
3,'Engineers Academy - Jaipur Rajasthan-IES Study Materials','engineers-academy-jaipur-rajasthan-ies-study-materials',School,,'78 Usha Vihar,,'Jaipur','Rajasthan',,,,,"'<table style=""width: 100%;"">rn<tbody>rn<tr>rn<td><span id=""ContentPlaceHolder1_Label111"" style=""font-size: Small;"">Engineers Academy is a leading Educational institution based in Various Parts of India. A venture of the renowned Engineers Academy group"
4,'Panacea Institute - Jaipur Rajasthan','panacea-jaipur',School,https://studypravesh.com/media/catalog/product'/1/_/1_4.jpg','S-52-53,'16,'Jaipur','Rajasthan','421,NULL,NULL,NULL,'<p>Panacea Institute is one of the leading edu-corporates
5,'Panacea Institute - Ajmer Rajasthan','panacea-institute-ajmer-rajasthan-ssc',School,https://studypravesh.com/media/catalog/product'no_selection','MERC Building,,'Jaipur','Rajasthan',,,,,'<p>Panacea Institute is one of the leading edu-corporates
6,'Panacea Institute - Ajmer Rajasthan','panacea-institute-ajmer-rajasthan-bank',School,https://studypravesh.com/media/catalog/product'no_selection','MERC Building,,'Jaipur','Rajasthan',,,,,'<p>Panacea Institute is one of the leading edu-corporates
7,'Panacea Institute - Bhilwara Rajasthan','panacea-institute-bhilwara-rajasthan-bank',School,https://studypravesh.com/media/catalog/product'no_selection','2nd Floor,,'Jaipur','Rajasthan',,,,,'<p>Panacea Institute is one of the leading edu-corporates
8,'Panacea Institute - Jaipur Rajasthan-Bank PO/Clerk','panacea-institute-jaipur-rajasthan-bank-po-clerk',School,https://studypravesh.com/media/catalog/product'no_selection','4,,'Jaipur','Rajasthan',,,,,'The price include Tution Fees and Material Fees.'
9,'Panacea Institute - Jaipur Rajasthan-SSC','panacea-institute-jaipur-rajasthan-ssc',School,https://studypravesh.com/media/catalog/product'no_selection','4,,'Jaipur','Rajasthan',,,,,'The price include Tution Fees and Material Fees.'
10,'Panacea Institute - Bhilwara Rajasthan','panacea-institute-bhilwara-rajasthan-ssc',School,https://studypravesh.com/media/catalog/product'no_selection','2nd Floor,,'Jaipur','Rajasthan',,,,,'<p>Panacea Institute is one of the leading edu-corporates
11,'Panacea Institute - Jaipur Rajasthan-CLAT','panacea-institute-jaipur-rajasthan-clat',School,,'4,,'Jaipur','Rajasthan',,,,,'<p>Panacea Institute is one of the leading edu-corporates
